"dataID","siteID","OFV1","OFV2"
1,1,0.421622185598839,0.164608273408453
1,2,0.399903079521593,0.182918504967338
1,3,0.423422802502683,0.169308611306458
1,4,0.404675118430119,0.164044308439279
1,5,0.420203967013393,0.165112533697325
1,6,0.434915211727791,0.154999942054543
1,7,0.418919326419126,0.156640828543672
1,8,0.427886298958243,0.174071377185596
1,9,0.4165934452468,0.173612100327107
1,10,0.415271261037747,0.158156742449796
1,11,0.363683455766485,0.156309266252348
1,12,0.4189570615797,0.157332299247278
1,13,0.407332209246608,0.17416315015374
1,14,0.407484015615046,0.162002787195854
1,15,0.415921473012153,0.163983370296122
1,16,0.42013802195224,0.157566632328041
1,17,0.42058547032695,0.162884816218683
1,18,0.419649085343546,0.164845850619941
1,19,0.411308525473207,0.168132663686108
1,20,0.42041602836675,0.161530929666645
1,21,0.423230499259108,0.152590290197008
1,22,0.419828014850566,0.157857794352847
1,23,0.417246776127164,0.146997818960564
1,24,0.425955252829112,0.150519745240888
1,25,0.419715493175105,0.16514739750427
1,26,0.41858599563924,0.155518398091593
1,27,0.40616327032763,0.174146161170643
1,28,0.423643119169287,0.162176652609903
1,29,0.417089778551165,0.161813940006193
1,30,0.405023551901234,0.158936113850758
1,31,0.419547937468858,0.162410627908545
1,32,0.416166212595371,0.156053519294113
1,33,0.420782595677707,0.155382047250583
1,34,0.424060972561293,0.1484460359899
1,35,0.419803258321109,0.162636867485093
1,36,0.417509445882213,0.145202122153561
1,37,0.409279542537847,0.168193226938333
1,38,0.422120922971762,0.160426325214262
1,39,0.424629477208177,0.157494527131076
1,40,0.41741000862813,0.158902342525907
1,41,0.394159583775332,0.170331776595308
1,42,0.420553802626441,0.151343185303063
1,43,0.416290794388698,0.16903018376947
1,44,0.416598092512919,0.161274522230928
1,45,0.419988051586256,0.154377353301149
1,46,0.419132111777104,0.16648357871815
1,47,0.417374437959002,0.166803122035551
1,48,0.419982043974225,0.164155838178782
1,49,0.384846619167301,0.156771753389684
1,50,0.420729830193267,0.148053937121944
1,51,0.420159840122969,0.162235664726238
1,52,0.431437962072486,0.159955816029125
1,53,0.413829343048259,0.158213047390842
1,54,0.386196978876538,0.154637176615042
1,55,0.423951967483918,0.15762388735218
1,56,0.411369501392907,0.16265625279437
1,57,0.416394734505125,0.164117984047418
1,58,0.419187621968614,0.159271709860574
1,59,0.398065073837591,0.171747622533628
1,60,0.412369572473142,0.160688429381329
1,61,0.415845010206849,0.163146045800896
1,62,0.418349373972605,0.167700193955753
1,63,0.419638874322411,0.151152351309683
